id,prediction_raw,prediction_pretty
EX-0049,"{
""도시 공원 관리는 효율적인 공원 활용, 환경 개선 및 이용객 만족도 향상의 장점을 제공하면서 과제로 공원 관리 계획 수립 및 자원 확보가 필요합니다."":1
}","{
  ""도시 공원 관리는 효율적인 공원 활용, 환경 개선 및 이용객 만족도 향상의 장점을 제공하면서 과제로 공원 관리 계획 수립 및 자원 확보가 필요합니다."": 1
}"
EX-0031,"{
""도시 공원 관리는 효율적인 공원 운영과 이용객 만족도 향상을 위해 공원 환경 개선, 이용객 참여 증가 및 예산 관리 개선 등의 장점을 제공하며, 동시에 공원 이용객 증가, 환경 오염 및 소음 문제 등의 과제를 수반합니다."":1
}","{
  ""도시 공원 관리는 효율적인 공원 운영과 이용객 만족도 향상을 위해 공원 환경 개선, 이용객 참여 증가 및 예산 관리 개선 등의 장점을 제공하며, 동시에 공원 이용객 증가, 환경 오염 및 소음 문제 등의 과제를 수반합니다."": 1
}"
EX-0011,"{
  ""핵심"": [
    ""형성평가 통해 학습 목표 달성도 확인"",
    ""정확한 피드백 제공으로 학습 동기 향상"",
    ""학습 과정 개선 및 향상에 활용""
  ]
}","{
  ""핵심"": [
    ""형성평가 통해 학습 목표 달성도 확인"",
    ""정확한 피드백 제공으로 학습 동기 향상"",
    ""학습 과정 개선 및 향상에 활용""
  ]
}"
EX-0047,"{
  ""핵심"": [
    ""형성평가 결과를 학습 목표와 연동하여 피드백 제공."",
    ""피드백을 통해 학습 목표 달성 가능성 확인."",
    ""학습 동기 유발 및 개선.""
  ]
}","{
  ""핵심"": [
    ""형성평가 결과를 학습 목표와 연동하여 피드백 제공."",
    ""피드백을 통해 학습 목표 달성 가능성 확인."",
    ""학습 동기 유발 및 개선.""
  ]
}"
EX-0003,"{
 ""title"": ""클라우드와 엣지 컴퓨팅의 차이"",
 ""tags"": [
  ""클라우드"",
  ""엣지 컴퓨팅"",
  ""차이""
 ]
}","{
  ""title"": ""클라우드와 엣지 컴퓨팅의 차이"",
  ""tags"": [
    ""클라우드"",
    ""엣지 컴퓨팅"",
    ""차이""
  ]
}"
EX-0015,"{
""클라우드는 중앙 서버에서 모든 작업을 처리하고 관리하는 반면, 엣지 컴퓨팅은 데이터 처리를 네트워크 가장자리에 분산합니다."":
""단, 클라우드는 중앙 관리기반 반면 엣지는 분산 처리기반입니다.""
}","{
  ""클라우드는 중앙 서버에서 모든 작업을 처리하고 관리하는 반면, 엣지 컴퓨팅은 데이터 처리를 네트워크 가장자리에 분산합니다."": ""단, 클라우드는 중앙 관리기반 반면 엣지는 분산 처리기반입니다.""
}"
EX-0027,{},{}
EX-0020,"{
  ""title"": ""Herd Immunity Effects of Vaccination"",
  ""tags"": [
    ""Vaccination"",
    ""Herd Immunity"",
    ""Epidemics""
  ]
}","{
  ""title"": ""Herd Immunity Effects of Vaccination"",
  ""tags"": [
    ""Vaccination"",
    ""Herd Immunity"",
    ""Epidemics""
  ]
}"
EX-0032,"{
""Vaccination effectively reduces herd immunity thresholds and protects vulnerable populations from infectious diseases."":1
}","{
  ""Vaccination effectively reduces herd immunity thresholds and protects vulnerable populations from infectious diseases."": 1
}"
EX-0014,"{
""Vaccination enhances herd immunity, reducing the likelihood of disease outbreaks and associated health risks."":1
}","{
  ""Vaccination enhances herd immunity, reducing the likelihood of disease outbreaks and associated health risks."": 1
}"
EX-0004,"{
  ""title"": ""Long-term impact of compound interest"",
  ""tags"": [
    ""finance"",
    ""investing"",
    ""mathematics""
  ]
}","{
  ""title"": ""Long-term impact of compound interest"",
  ""tags"": [
    ""finance"",
    ""investing"",
    ""mathematics""
  ]
}"
EX-0026,"{ 
  ""Herd immunity protects individuals through collective immunization, preventing disease spread and its associated consequences."": 
  
  { ""Herd immunity protects individuals through collective immunization, preventing disease spread and its associated consequences."": 
    { ""Herd immunity relies on widespread vaccination to create a protective barrier against infectious diseases."": 
    
    { ""When a majority of the population is vaccinated, outbreaks become less likely, ultimately benefiting those who remain unvaccinated."": 
    
    { ""This principle underscores the importance of vaccination campaigns and equitable access to vaccines."": 
    
    { ""Herd immunity is crucial for disease eradication and control."": 
    
    { ""Individual vaccination contributes to the collective protection offered by herd immunity."": 
    
    { ""Herd immunity is an essential component of public health strategies for disease prevention and control."":","{  \n   ""Herd immunity protects individuals through collective immunization, preventing disease spread and its associated consequences."":  \n    \n   { ""Herd immunity protects individuals through collective immunization, preventing disease spread and its associated consequences."":  \n     { ""Herd immunity relies on widespread vaccination to create a protective barrier against infectious diseases."":  \n      \n     { ""When a majority of the population is vaccinated, outbreaks become less likely,  ..."
EX-0008,"{ 
""Partial population immunity protects vulnerable individuals through herd effect."": 
{ }
}","{
  ""Partial population immunity protects vulnerable individuals through herd effect."": {}
}"
EX-0050,"{
""Herd immunity protects vulnerable individuals by reducing transmission and infection risks among vaccinated populations."":
{
} }","{
  ""Herd immunity protects vulnerable individuals by reducing transmission and infection risks among vaccinated populations."": {}
}"
EX-0044,"{ 
  ""Herd immunity protects vulnerable individuals through widespread vaccination."": 1
}","{
  ""Herd immunity protects vulnerable individuals through widespread vaccination."": 1
}"
EX-0030,"{
  "" - Increased fares can reduce ridership, potentially widening access disparities.\n"":-1.0
  }","{
  "" - Increased fares can reduce ridership, potentially widening access disparities.\n"": -1.0
}"
EX-0012,"{
  ""list"": [
    ""Reduced accessibility for low-income individuals"",
    ""Increased financial burden for vulnerable populations"",
    ""Potential displacement of public transport dependents""
  ]
}","{
  ""list"": [
    ""Reduced accessibility for low-income individuals"",
    ""Increased financial burden for vulnerable populations"",
    ""Potential displacement of public transport dependents""
  ]
}"
EX-0048,"{
  "" - Increased fares can reduce ridership, impacting low-income communities.\n"":
  "" - Cost increases can exacerbate social inequality, as those with limited financial resources struggle to afford transportation.\n""
  }","{
  "" - Increased fares can reduce ridership, impacting low-income communities.\n"": "" - Cost increases can exacerbate social inequality, as those with limited financial resources struggle to afford transportation.\n""
}"
EX-0028,"{
  "" - Consistent compounding generates exponential growth.\n"": 
  "" - Small initial investments can yield significant returns over time.\n""
  }","{
  "" - Consistent compounding generates exponential growth.\n"": "" - Small initial investments can yield significant returns over time.\n""
}"
